Link Product Page,title,ID,   Current Price   ,Discount Percentage,   Price Before Discount   
https://www.amazon.ae/Hand-Made-Bracelet-Adjustable-Kabbalah-Protection/dp/B09VBBWVJ9/ref=sr_1_103?qid=1686556435&s=fashion&sr=1-103,LESKA Hand-Made Evil Eye Bracelet Black Blue Adjustable for Women Men Kids Kabbalah Protection from Negative Energy Lucky Charm,117, AED 43.21 ,No discount, AED 29.50 
https://www.amazon.ae/Goodern-Adjustable-Princess-Accessories-Duplication/dp/B09KZG9SS8/ref=sr_1_104?qid=1686556435&s=fashion&sr=1-104,"Goodern 50Pcs Adjustable Princess Pretend Jewelry Rings, Kids Jewelry Rings for Little Girls Toddler, Party Favor Pretend Princess Dress Up Jewelry Accessories,No Duplication Ring for Children",118, AED 43.21 ,No discount, AED 30.55 
https://www.amazon.ae/Piercing-Piercings-Stainless-Jewelry-Teen-girls/dp/B092M6S2CC/ref=sr_1_101?qid=1686556444&s=fashion&sr=1-101,"Non Piercing Fake Piercings Face Nose Ring Hoop, Nose Piercing Hoop Stainless Steel Non Piercing Nose Rings Hoop Jewelry for Women Men Body Jewelry, Gift for Women Girls Teen-girls Men",127, AED 43.21 ,No discount, AED 35.90 
https://www.amazon.ae/Heart-Locket-Necklace-Exquisite-Carving/dp/B07V1JM135/ref=sr_1_102?qid=1686556444&s=fashion&sr=1-102,Heart Photo Locket Necklace With Exquisite Carving - Silver Plated - Birthday Valentine's Gift,128, AED 43.21 ,-7%, AED 19.90 
https://www.amazon.ae/Magnetic-Crystal-Earrings-Nose-2-colors/dp/B097RKJ6LG/ref=sr_1_103?qid=1686556444&s=fashion&sr=1-103,"Magnetic Nose Stud Tiny,Fake Nose Rings Magnetic Small,Magnetic Crystal Earrings Nose-2 Pairs/24pcs (six colors)",129, AED 43.21 ,No discount, AED 35.90 
https://www.amazon.ae/Friendship-Bracelets-Adjustable-Personality-Girlfriends/dp/B0BM7SHLJ3/ref=sr_1_104?qid=1686556444&s=fashion&sr=1-104,"Friendship Bracelets for Girls, 6Pcs Adjustable Friendship Bracelets Unicorn Handmade Braided Bracelets for Girls Birthday Jewellery Party Bags Fillers, Personality Hand String Girlfriends Gift",130, AED 43.21 ,-10%, AED 32.39 
https://www.amazon.ae/Fazza-Wristband-Bangle-Bracelet-Unisex/dp/B08Z67GH5P/ref=sr_1_105?qid=1686556444&s=fashion&sr=1-105,F3 Fazza Faz3 Wristband Rope Bangle Bracelet for Unisex,131, AED 43.21 ,No discount, AED 17.50 
https://www.amazon.ae/Yellow-Chimes-Silver-Oxidized-Designer/dp/B083Z63Z1Z/ref=sr_1_106?qid=1686556444&s=fashion&sr=1-106,Yellow Chimes Silver Oxidized 4 Pairs Combo German Silver Designer Toe Ring for Women and Girls (4 Pair Combo),132, AED 43.21 ,No discount, AED 18.00 
https://www.amazon.ae/REVHQ-Magnetology-Lymphvity-Magnetherapy-Acupressure/dp/B0BLZ8N36M/ref=sr_1_149?qid=1686556450&s=fashion&sr=1-149,"REVHQ 3 Pair Atheniz Magnetology Lymphvity Germanium Earrings, Metiz Lymphvity Magnetherapy Earrings, Atheniz Non Piercing Crystal Magnetic Therapy Acupressure Earrings for Women Men",137, AED 43.21 ,-8%, AED 39.54 
https://www.amazon.ae/Shining-Diva-Fashion-Traditional-Earrings/dp/B07HC8T1HR/ref=sr_1_150?qid=1686556450&s=fashion&sr=1-150,Shining Diva Fashion Women's 18K Stylish Fancy Party Wear Traditional Gold Plated Drop Earrings - Golden (9850er),138, AED 43.21 ,No discount, AED 15.64 
https://www.amazon.ae/Collection-Statement-Multilayer-Gold-Plated-Necklace/dp/B07XZBCPB8/ref=sr_1_151?qid=1686556450&s=fashion&sr=1-151,Yellow Chimes Fashion Collection Statement Long Sweater Chain Multilayer Pearl Floral Gold-Plated Pendant Stylish Necklace for Women and Girl's,139, AED 43.22 ,No discount, AED 19.00 
https://www.amazon.ae/Scrunchies-Elastic-Ponytail-Scrunchy-Accessories/dp/B07P7YPN99/ref=sr_1_152?qid=1686556450&s=fashion&sr=1-152,6Pcs Hair Scrunchies Satin Silk Elastic Hair Bands Hair Scarf Ponytail Holder Scrunchy Ties Vintage Accessories for Women Girls 6 Count Stripes,140, AED 43.22 ,No discount, AED 26.00 
https://www.amazon.ae/PAVOI-Plated-Zirconia-Classic-Bracelet/dp/B07T9N5T79/ref=sr_1_153?qid=1686556450&s=fashion&sr=1-153,PAVOI 14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | Size 6.5-7.5 Inch,141, AED 43.22 ,No discount, AED 29.00 
https://www.amazon.ae/Swarovski-Elements-Sterling-Necklace-J-Ros%C3%A9e/dp/B09XHV7J9S/ref=sr_1_154?qid=1686556450&s=fashion&sr=1-154,Swarovski Elements Crystal 18K Gold Plated 925 Sterling Silver Double Heart Pendant Necklace for Women Gift Packing J.Rosée Fashion Jewelry,142, AED 43.22 ,-30%, AED 62.29 
https://www.amazon.ae/Interactive-Battery-Decoration-Clothing-Backpack/dp/B0C5RKTYX6/ref=sr_1_197?qid=1686556455&s=fashion&sr=1-197,"Interactive Enamel Mood Pins, Social Battery Pin Slider, Social Battery Lapel Slider Pin, My Social Battery Pin Slider, Funny Pins Jewelry Decoration for Clothing Backpack Hat Decoration (A)",147, AED 43.22 ,No discount, AED 57.59 
https://www.amazon.ae/Rhinestone-Decorative-Cardigans-Dressing-Accessories/dp/B09R1PDJQG/ref=sr_1_198?qid=1686556455&s=fashion&sr=1-198,"Safety Pins for Clothes, Faux White Pearl Brooch Pin Dress Clip Hat Shawl Pin Rhinestone Enamel Pins Decorative Sweater Pins for Cardigans Women Girls Dressing Cloth Accessories",148, AED 43.22 ,-10%, AED 35.99 
